,mock_name,data_name,category,question
208,Kohler Co.,Kohler Co.,,2. What is LEED and how do you think it affects our day to day operations at Kohler?
209,Kohler Co.,Kohler Co.,,"3. At Kohler we have many strong competitors. In your opinion, what sets us apart from the others?"
210,Kohler Co.,Kohler Co.,,"4. At Kohler our customers, vendors, manufacturers, and wholesalers are all important to us. How do you keep a healthy balance to ensure that everyone is happy?"
211,Kohler Co.,Kohler Co.,,"5. Kohler has taken much care over the years to create healthy vendor relationships. How would you handle it if a vendor shorted you on inventory, resulting in a costly project delay?"
212,Kohler Co.,Kohler Co.,,"6. At Kohler we treat each of our customers, and their projects, as a priority. What is your customer service philosophy?"
213,Kohler Co.,Kohler Co.,,"7. Every step counts for a successful project so at Kohler we prefer to hire those who come highly trained. Do you have any post-secondary education related to project management, or construction?"
214,Kohler Co.,Kohler Co.,,"8. At Kohler we use robust internal inventory management and project management systems. Do you have experience in SAP, Auto CAD, or Project Insight?"
215,Kohler Co.,Kohler Co.,,9. This position is an entry level role. Where would you like to see your career with Kohler take you?
216,Kohler Co.,Kohler Co.,,10. Where did you come across our job posting?
217,Kohler Co.,Kohler Co.,,"11. Looking at your resume, you've had a number of job changes, what would make me think that you will stay with Kohler?"
218,Kohler Co.,Kohler Co.,,12. Tell me about a time at work when your integrity was challenged. How did you handle it?
219,Kohler Co.,Kohler Co.,,13. Do you have experience in corrective discipline and terminations?
220,Kohler Co.,Kohler Co.,,14. What kind of people do you enjoy working with?
221,Kohler Co.,Kohler Co.,,"15. On a scale from 1 to 10, how honest are you?"
222,Kohler Co.,Kohler Co.,,16. Tell me about your most significant work experience that relates to this position.
223,Kohler Co.,Kohler Co.,,"17. When given an important assignment, how do you approach handling it?"
224,Kohler Co.,Kohler Co.,,18. When have you taken an existing process and used your own creativity to make it better?
225,Kohler Co.,Kohler Co.,,19. What feedback did you receive at your last job?
226,Kohler Co.,Kohler Co.,,20. How would you describe your personality?
227,Kohler Co.,Kohler Co.,,21. How would you describe your written communication skills?
228,Kohler Co.,Kohler Co.,,22. How do you handle conflict in the workplace?
229,Kohler Co.,Kohler Co.,,23. Give me an example of a time when you had to make a decision without all the information you needed.
230,Kohler Co.,Kohler Co.,,24. When were you able to resolve a problem within work?
231,Kohler Co.,Kohler Co.,,"25. If you could start your career over again, what direction would you take?"
232,Kohler Co.,Kohler Co.,,26. What is your current salary?
233,BECU,BECU,,"1. What do you believe we can improve on, at BECU?"
234,BECU,BECU,,2. Credit Unions rank higher in customer service than traditional banks. Why do you think this is?
235,BECU,BECU,,"3. In your opinion, what is the best service or product offered at BECU?"
236,BECU,BECU,,4. Are you a BECU member?
237,BECU,BECU,,5. You will handle member transactions in this role. Talk to me about your mathematical skills.
238,BECU,BECU,,6. Walk me through your customer service training.
239,BECU,BECU,,7. How do you protect the privacy of every customer you assist?
240,BECU,BECU,,8. Do you have any sales experience? Would you be comfortable upselling a BECU banking product?
241,BECU,BECU,,9. Are you aware that this job has goals and targets? When have you worked in a similar environment?
242,BECU,BECU,,10. How do our fees at BECU stack up against traditional banks?
243,BECU,BECU,,"11. In this role, you will handle thousands of dollars of cash, payments, deposits, and funds transfers. This responsibility requires you to be detail-oriented, accurate, and honest. Does this describe you?"
244,BECU,BECU,,12. Do you have any formal education that will help you succeed in this role?
245,BECU,BECU,,13. Customers can become upset with BECU policy at times. How would you handle a customer who is angry because they do not agree with a policy?
246,BECU,BECU,,14. Have you been trained in the proper techniques for detecting counterfeit cash and fraudulent checks?
247,BECU,BECU,,15. BECU puts our members first. How will you always put our members' needs first?
248,BECU,BECU,,16. Tell me about one career achievement you have set for yourself this year.
249,BECU,BECU,,"17. Are you okay with routine work, or do you prefer a mix of responsibilities?"
250,BECU,BECU,,"18. Do you consider yourself a logical person, able to make sound judgments under pressure?"
251,BECU,BECU,,"19. Have you ever been terminated? If so, what were the circumstances surrounding your termination?"
252,BECU,BECU,,"20. If hired, how will you begin to build trusting relationships with our clients and your co-workers?"
253,BECU,BECU,,21. Your background is not in banking. Tell me what skills and characteristics qualify you for this position with BECU.
254,BECU,BECU,,22. Are you a patient person? How do you boost your patience level in challenging situations?
255,BECU,BECU,,23. How would you approach a task you were not trained to do?
256,BECU,BECU,,24. Do you have plans for continued education?
257,BECU,BECU,,25. What would you do if you caught a co-worker stealing money from BECU?
258,BECU,BECU,,26. One small error can throw off our entire balance. How do you react when you do something wrong at work?
259,BECU,BECU,,27. What do you enjoy about your career in banking?
260,BECU,BECU,,"28. Looking back to your most recent performance review; what was one area for improvement, and one positive?"
261,BECU,BECU,,29. Do you have any questions about BECU or this job?
262,BECU,BECU,,30. How much do you earn in your current role?
263,American Electric Power,American Electric Power,,1. The utilities industry is highly regulated. How do you stay on top of policy changes and trends related to our business?
264,American Electric Power,American Electric Power,,"2. Our industry is highly competitive. In your opinion, what are we doing right at American Electric Power? What could we be doing better?"
265,American Electric Power,American Electric Power,,"3. Have you personally used the services of American Electric Power? If so, what was your overall experience?"
266,American Electric Power,American Electric Power,,4. American Electric Power has many different departments and growth opportunities. Where would you like to see your career go with us in the next couple of years?
267,American Electric Power,American Electric Power,,5. Why do you want to work for American Electric Power?
268,American Electric Power,American Electric Power,,"6. What are your greatest strengths? How will these skills benefit American Electric Power, if hired?"
269,American Electric Power,American Electric Power,,"7. At American Electric Power we believe in continued education opportunities. What course or workshop would you take, if given the opportunity?"
270,American Electric Power,American Electric Power,,8. Why do you want to pursue a career opportunity in the utilities industry?
271,American Electric Power,American Electric Power,,9. Tell me about the most important skill you have gained in the past year. How will that skill help you succeed in this role with American Electric Power?
272,American Electric Power,American Electric Power,,"10. If we hire you at American Electric Power, how will you make an impact in the first 90 days?"
273,American Electric Power,American Electric Power,,11. Sometimes our customers do not understand their bill and they will reach us with questions. Tell me about your communication skills and how you would respond to an irate customer.
274,American Electric Power,American Electric Power,,12. Give me an example of a time when you went above and beyond.
275,American Electric Power,American Electric Power,,13. Have you progressed in your career as you have expected?
276,American Electric Power,American Electric Power,,14. Describe your leadership skills.
277,American Electric Power,American Electric Power,,15. Would you be willing to work over 40 hours a week?
278,American Electric Power,American Electric Power,,16. Would you say you are a better verbal or written communicator?
279,American Electric Power,American Electric Power,,17. It seems that your resume is missing certain skills that are necessary for this position. How do you plan to compensate for these missing skills?
280,American Electric Power,American Electric Power,,18. How do you manage a large workload?
281,American Electric Power,American Electric Power,,19. How do you determine priorities when you have multiple projects due?
282,American Electric Power,American Electric Power,,20. How do you handle stress?
283,American Electric Power,American Electric Power,,21. Do you have experience in corrective discipline and terminations?
284,American Electric Power,American Electric Power,,"22. On a scale from 1 to 10, how honest are you?"
285,American Electric Power,American Electric Power,,23. How can we motivate you on the job?
286,American Electric Power,American Electric Power,,24. How do you respond to feedback?
287,American Electric Power,American Electric Power,,25. When do you best demonstrate yourself as a leader?
288,American Electric Power,American Electric Power,,26. Do you have reliable transportation?
289,American Electric Power,American Electric Power,,27. Tell me about yourself.
290,American Electric Power,American Electric Power,,28. What are your salary expectations?
291,American Electric Power,American Electric Power,,29. What would you do if a client asked you about a product or service and you were unsure of the answer?
292,American Electric Power,American Electric Power,,30. What questions do you have for me?
293,Merck,Merck,Behavioral,1. When have you shown great integrity at work?
294,Merck,Merck,Behavioral,2. When have you had to be extra thorough in completing tasks?
295,Merck,Merck,Behavioral,3. Tell me about your greatest work-related accomplishment.
296,Merck,Merck,Direct,4. Who is the CEO of our company?
297,Merck,Merck,Direct,5. Why did you leave your last job?
298,Merck,Merck,Direct,6. What are your salary expectations?
299,Merck,Merck,Direct,"7. By this time in your career, you should have advanced further. What has slowed down your career progression?"
300,Merck,Merck,Direct,8. This concludes our interview. Do you have any questions for me?
301,Merck,Merck,Direct,9. How would you rate your performance in this interview so far?
302,Merck,Merck,Direct,10. Are you applying for any other jobs?
